id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
vOkiTLs9MVLx6_jtIjT-GA,zorbas-pizza-millbrae,Zorba's Pizza,https://s3-media3.fl.yelpcdn.com/bphoto/wrIGM03CgOTVy7mzxJgm1A/o.jpg,False,https://www.yelp.com/biz/zorbas-pizza-millbrae?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,510,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.0,"{'latitude': 37.61148, 'longitude': -122.40303}","['pickup', 'delivery']",$$,"{'address1': '1567 El Camino Real', 'address2': '', 'address3': '', 'city': 'Millbrae', 'zip_code': '94030', 'country': 'US', 'state': 'CA', 'display_address': ['1567 El Camino Real', 'Millbrae, CA 94030']}",+16508751616,(650) 875-1616,1053.3723799988452
ItRA_StAZd9xxrQCozhW3A,jollibee-daly-city,Jollibee,https://s3-media1.fl.yelpcdn.com/bphoto/UgsPAlG7jcGYxQv8Q-2XMA/o.jpg,False,https://www.yelp.com/biz/jollibee-daly-city?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,568,"[{'alias': 'filipino', 'title': 'Filipino'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",2.5,"{'latitude': 37.697202624245, 'longitude': -122.46391843741}",['delivery'],$,"{'address1': '6955 Mission St', 'address2': '', 'address3': '', 'city': 'Daly City', 'zip_code': '94014', 'country': 'US', 'state': 'CA', 'display_address': ['6955 Mission St', 'Daly City, CA 94014']}",+16507554848,(650) 755-4848,11969.158200292251
GwbM9M3c_ZlFSDo7WTGeag,wingstop-millbrae,Wingstop,https://s3-media2.fl.yelpcdn.com/bphoto/bvWzlj3Yv6WeNOwKBpFLwQ/o.jpg,False,https://www.yelp.com/biz/wingstop-millbrae?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,121,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",3.5,"{'latitude': 37.606233315112, 'longitude': -122.398032626158}",[],$$,"{'address1': '1085 El Camino Real', 'address2': '', 'address3': '', 'city': 'Millbrae', 'zip_code': '94030', 'country': 'US', 'state': 'CA', 'display_address': ['1085 El Camino Real', 'Millbrae, CA 94030']}",+16506973300,(650) 697-3300,326.0382001841429
zHo0wp9hVdAj-AuZVjbD4Q,krispy-krunchy-chicken-daly-city,Krispy Krunchy Chicken,https://s3-media3.fl.yelpcdn.com/bphoto/SgAthVrNiKGV50OQMUkcTw/o.jpg,False,https://www.yelp.com/biz/krispy-krunchy-chicken-daly-city?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,102,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",4.0,"{'latitude': 37.68315, 'longitude': -122.48991}",[],$$,"{'address1': '505 Skyline Dr', 'address2': '', 'address3': None, 'city': 'Daly City', 'zip_code': '94015', 'country': 'US', 'state': 'CA', 'display_address': ['505 Skyline Dr', 'Daly City, CA 94015']}",+16509922500,(650) 992-2500,12097.906778001216
5VdBW-nXKmZS1E6Dh5uMdQ,seniores-pizza-san-bruno-4,Seniore's Pizza,https://s3-media4.fl.yelpcdn.com/bphoto/r7M5LEWQVKxJ9qb7A0mScg/o.jpg,False,https://www.yelp.com/biz/seniores-pizza-san-bruno-4?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,317,"[{'alias': 'pizza', 'title': 'Pizza'}]",3.5,"{'latitude': 37.627449, 'longitude': -122.416373}","['pickup', 'delivery']",$$,"{'address1': '730 Kains Ave', 'address2': '', 'address3': '', 'city': 'San Bruno', 'zip_code': '94066', 'country': 'US', 'state': 'CA', 'display_address': ['730 Kains Ave', 'San Bruno, CA 94066']}",+16509524100,(650) 952-4100,3175.9883765766904
zeAyrFZhpT2WUH6S92bmBA,totos-pizzeria-san-bruno,Toto's Pizzeria,https://s3-media4.fl.yelpcdn.com/bphoto/Gim5G0HGNz4sgPMijouJnQ/o.jpg,False,https://www.yelp.com/biz/totos-pizzeria-san-bruno?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,897,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",4.0,"{'latitude': 37.61385, 'longitude': -122.40434}",['delivery'],$$,"{'address1': '1690 El Camino Real', 'address2': '', 'address3': '', 'city': 'San Bruno', 'zip_code': '94066', 'country': 'US', 'state': 'CA', 'display_address': ['1690 El Camino Real', 'San Bruno, CA 94066']}",+16508738686,(650) 873-8686,1337.4279371941664
8kck3-K4zYKTJbJko0JlXQ,farmhouse-kitchen-thai-cuisine-san-francisco,Farmhouse Kitchen Thai Cuisine,https://s3-media1.fl.yelpcdn.com/bphoto/woO06sua7uMQNBf0wnjf8w/o.jpg,False,https://www.yelp.com/biz/farmhouse-kitchen-thai-cuisine-san-francisco?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,2422,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]",4.0,"{'latitude': 37.76026094, 'longitude': -122.4112048}","['pickup', 'restaurant_reservation', 'delivery']",$$,"{'address1': '710 Florida St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['710 Florida St', 'San Francisco, CA 94110']}",+14158142920,(415) 814-2920,17398.64001773638
UT3eod0jmPmT_Iwuz45Drg,porridge-and-things-millbrae,Porridge & Things,https://s3-media2.fl.yelpcdn.com/bphoto/aqx22VBc6tE45oLK1giXcQ/o.jpg,False,https://www.yelp.com/biz/porridge-and-things-millbrae?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,29,"[{'alias': 'chinese', 'title': 'Chinese'}]",3.5,"{'latitude': 37.600076, 'longitude': -122.391195}","['pickup', 'delivery']",,"{'address1': '235 Broadway', 'address2': '', 'address3': None, 'city': 'Millbrae', 'zip_code': '94030', 'country': 'US', 'state': 'CA', 'display_address': ['235 Broadway', 'Millbrae, CA 94030']}",+16506922992,(650) 692-2992,587.69391632675
cIQu_DxZkmRA5gJNvrYoCA,yangon-burlingame-2,Yangon,https://s3-media2.fl.yelpcdn.com/bphoto/41sKlfnUHS6jfcB86fNcRg/o.jpg,False,https://www.yelp.com/biz/yangon-burlingame-2?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,214,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'burmese', 'title': 'Burmese'}]",4.5,"{'latitude': 37.58717, 'longitude': -122.36419}","['pickup', 'delivery']",$$,"{'address1': '1136 Broadway', 'address2': '', 'address3': '', 'city': 'Burlingame', 'zip_code': '94010', 'country': 'US', 'state': 'CA', 'display_address': ['1136 Broadway', 'Burlingame, CA 94010']}",+16503488848,(650) 348-8848,3340.344639237843
wk1R0R2atEs9w4jgeibWqg,rice-n-roll-pacifica,Rice N Roll,https://s3-media2.fl.yelpcdn.com/bphoto/cxGqmYmRvExL5A7Z1fW6HQ/o.jpg,False,https://www.yelp.com/biz/rice-n-roll-pacifica?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,692,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",3.5,"{'latitude': 37.6460435, 'longitude': -122.4716853}","['pickup', 'delivery']",$$,"{'address1': '683 Manor Dr', 'address2': None, 'address3': '', 'city': 'Pacifica', 'zip_code': '94044', 'country': 'US', 'state': 'CA', 'display_address': ['683 Manor Dr', 'Pacifica, CA 94044']}",+16507380218,(650) 738-0218,8192.898083194808
